cycle,assay,n,design_df,beta,se,t,p,ci_low,ci_high
2001-2002,Abbott hs-cTnI,740,15,0.08162720077846805,0.04440650959964019,1.8381809674843135,0.08592074044987784,-0.013023033927580696,0.1762774354845168
2001-2002,Siemens hs-cTnI,740,15,0.11278084502783198,0.04093796870093806,2.7549203980227697,0.014739570738543865,0.02552363024407736,0.2000380598115866
2001-2002,Ortho hs-cTnI,740,15,0.15495740532528512,0.03833547800236262,4.042140946194412,0.0010641479124069023,0.07324726815833266,0.2366675424922376
1999-2000,Abbott hs-cTnI,556,14,0.04344699206551261,0.051747318037506415,0.8395989147499832,0.4152411285310277,-0.06753996679677989,0.1544339509278051
1999-2000,Siemens hs-cTnI,556,14,0.05872570386906839,0.04583843934579596,1.281145359815885,0.22095787945176482,-0.03958797063472237,0.15703937837285914
1999-2000,Ortho hs-cTnI,556,14,0.13779520974400455,0.034440370890711725,4.000979263006913,0.0013135244556946358,0.06392796073065428,0.21166245875735484
