cycle,n,design_df,beta,se,t,p,ci_low,ci_high,z
2001-2002,740,15.0,0.13869301967577746,0.038122714405597176,3.6380677986406593,0.0024285206928910913,0.05743637738046237,0.21994966197109256,
1999-2000,556,14.0,0.09707225755094545,0.04191247866722795,2.3160705507700703,0.036228364850320195,0.007178931247836098,0.18696558385405482,
descriptive pooled estimate,1296,,0.11984902368789592,0.02820167041093526,,2.140439668334132e-05,0.06457476537859391,0.17512328199719793,4.249713649636306
