cycle,model,n,design_df,beta,se,t,p,ci_low,ci_high
2001-2002,Model 1,740,15,0.0865723779423107,0.027726501818405497,3.1223692952437996,0.006990312840054993,0.027474738241508097,0.1456700176431133
2001-2002,Model 2,740,15,0.08781358245863272,0.0259503594938177,3.383906202900697,0.004090659315828254,0.03250170050842225,0.1431254644088432
2001-2002,Model 3,740,15,0.13869301967577746,0.038122714405597176,3.6380677986406593,0.0024285206928910913,0.05743637738046237,0.21994966197109256
1999-2000,Model 1,556,14,0.04057401787276473,0.03890914489935875,1.0427887319989246,0.3147194065836346,-0.04287779814564475,0.12402583389117422
1999-2000,Model 2,556,14,0.035957761142655816,0.039886980365429564,0.9014911836700669,0.3825743599828889,-0.04959130336635625,0.12150682565166787
1999-2000,Model 3,556,14,0.09707225755094545,0.04191247866722795,2.3160705507700703,0.036228364850320195,0.007178931247836098,0.18696558385405482
